vuosi	tehtavat	ratkaisut
2025	"https://drive.google.com/file/d/1IhgO5GY--KlohX0l75yeAV0wITw9jZth/view"	"https://drive.google.com/file/d/1Fjetz__TROeuHtGdWGe1oModBqzLC80A/view"
2019	"https://drive.google.com/file/d/1tivGCXohVjRol3sGTe5hL9VaqUSNM1lu/view"	"https://drive.google.com/file/d/1KJzs08gFU6d6jd1cFIyiLjIYDpL-DDW_/view"
2018	"https://drive.google.com/file/d/1PUF11ci0GZD_RmnLShq28_XZ7v0nUdap/view"	"https://drive.google.com/file/d/1X4t9APSQBibm9hrxmgkc8VU0wyyYnXjM/view"
2017	"https://drive.google.com/file/d/1kvcdK71Dovf33_D_WASRwqGpoprsSZWQ/view"	"https://drive.google.com/file/d/1I_49fbHDJ_eIOMyv649AoZsdJvA9ksQe/view"
2016	"https://drive.google.com/file/d/1_eM9okgFhFc_wKJe6ITaIWcDAOkbsJxS/view"	"https://drive.google.com/file/d/1fnigLtA1GZKod6m9ZCwEAGi4Ikmv7hp1/view"
2015	"https://drive.google.com/file/d/10d-dqYI03IneS1NY7b38ZKmrtkpTFL1i/view"	"https://drive.google.com/file/d/1CC6EJYzRCseDJ__JFt4ahE1gSBdMXmkP/view"
2014	"https://drive.google.com/file/d/14rXlXtDL6Eq3hQN_ifsI2GNVD3H2ebav/view"	"https://drive.google.com/file/d/1vGRjo2-XQs7oq-Ki_Yc4LU4eBfRPfa7P/view"
2013	"https://drive.google.com/file/d/11s8Pa_KP14IXyYjEes_cFVI-DrnP5Vlu/view"	"https://drive.google.com/file/d/1tor0dVQG-8ZDlAA0Ra0MvMzWHsx_GExN/view"
2012	"https://drive.google.com/file/d/1NrmttWlbAs26WjiiLeFoK1QMD6YoWjPb/view"	"https://drive.google.com/file/d/1enDp91p9Wk3FLpog4pssTIwuRRchFGP-/view"
2011	"https://drive.google.com/file/d/1ejXqn3XdwJAycAZtmwX9XOxj0t0f2_Im/view"	"https://drive.google.com/file/d/1zriengJDYRNQIUZbb2YODUooiZ5ixWkv/view"
2010	"https://drive.google.com/file/d/1uJNH7yIfdUgLXycJ_zpHNvKV9nepGIOD/view"	"https://drive.google.com/file/d/1dLtnDSxS1HcLWQQXg70hOtNAyiP1QkLl/view"
2009	"https://drive.google.com/file/d/1vFPuLzTKPfek238EwZMM_RygZXCwhobn/view"	"https://drive.google.com/file/d/1NlzGV7Va03Y5giuwkSbneK916EGE74QD/view"
2008	"https://drive.google.com/file/d/1C9o9PeTMpGX3gCJBpDx_idZyjtCz14iF/view"	"https://drive.google.com/file/d/18waKmDq8oG4GBOjft4QV2ZWW69oedcT2/view"
2007	"https://drive.google.com/file/d/1gh8KmLyMMAvfwa8MDYDJQEi85z5e55sO/view"	"https://drive.google.com/file/d/1Sgmr0R0qgN5zcDQ33xnpvRU7vpZd73YW/view"
2006	"https://drive.google.com/file/d/1lIbc4R0LYgMWNoTs5US5cp-A-DzUBRtQ/view"	"https://drive.google.com/file/d/1z3mf_ByRgKAaw6tPE3dQqu8doExDmn12/view"
2005	"https://drive.google.com/file/d/1iWPnogNz4xQmBQBXfHw68iZhG5yJWTyj/view"	"https://drive.google.com/file/d/1ZRC3L1_6pthU4s-4shjEUhpr76jaa_GB/view"
2004	"https://drive.google.com/file/d/1exZD0T8pAlOndi4_1r089PzfgvE8ps4S/view"	"https://drive.google.com/file/d/1w-8qqTOAEucQ4ISCYG47rnT8bX4obZ1R/view"
2003	"https://drive.google.com/file/d/11Vvd8KvCGiQIBThi5Z1rD93uH676LnBD/view"	"https://drive.google.com/file/d/1i6QsI_sXW48Dr1UFavZfEYuKubhPVU-8/view"
2002	"https://drive.google.com/file/d/1theZ46935dFJ-FO2NqB6kIfhzDby1kFU/view"	"https://drive.google.com/file/d/11agXgftTz0LHtMgzvsvSE_ztBCdUVLWT/view"
2001	"https://drive.google.com/file/d/1ABpBcyFxtv_1Cyx1Wd02upYW235L9gnF/view"	"https://drive.google.com/file/d/1DIKjUcbyHjsQ7iDooR6nVBXTmXYZwBkR/view"
2000	"https://drive.google.com/file/d/1T6enSrwUft_k2JXHYHR4UggB-txM7lK3/view"	"https://drive.google.com/file/d/1heYqWpWcnzk5lWCbKn08S5M76rAFymT0/view"
1999	"https://drive.google.com/file/d/1X0mbpe44irOyWaBLvLcAyZ4F_toc_OpI/view"	"https://drive.google.com/file/d/1Mqr-CrAz3kIph3ivfJkn-ybztEFjIQh4/view"
1998	"https://drive.google.com/file/d/12JBrmXDhYOT5jWN7ei7chLhAJBJWke9M/view"	"https://drive.google.com/file/d/1HjaU6MlgVaxu8FSBEI6YNvGHnYlc6Hza/view"
1997	"https://drive.google.com/file/d/1ZKqhnkg3AYVcnF6ngBQr-fh4Lbdgtiz6/view"	"https://drive.google.com/file/d/197UNyqg9g1bMCR_Dy-GvOZ-skiPf9Op0/view"
