start_date,end_date,title,description,url,display_override
2026-01-09,2026-01-11,Valmennusviikonloppu Päivölässä,,https://paivola.fi/kurssit/matematiikkakilpailuvalmennus-2026-vk2,
2026-01-16,2026-01-17,MAOLin loppukilpailut,,,
2026-02-20,2026-02-22,Valmennusviikonloppu Päivölässä,,https://paivola.fi/kurssit/matematiikkakilpailuvalmennus-2026-vk8,
2026-03-27,2026-03-27,Pohjoismainen matematiikkakilpailu,"Kutsutuille omassa koulussa tai Päivölässä. Saattaa olla myös mahdollisuus osallistua yhteispohjoismaiselle leirille Ruotsissa.",,
2026-03-27,2026-03-29,Valmennusviikonloppu Päivölässä ja Pythagoraan polku,,,
2026-04-09,2026-04-15,Euroopan tyttöjen matematiikkaolympialaiset (EGMO),"Bordeaux'ssa",https://egmo2026.fr/,
2026-04-23,2026-04-30,Eurooppalaiset matematiikkaolympialaiset EMO,"Vilnassa",https://emo2026.lt/,
2026-05-04,2026-05-09,Matematiikkaolympiajoukkueen valinta- ja valmennusleiri,"Päivölässä",,
2026-05-22,2026-05-24,Valmennusviikonloppu,"Päivölässä erityisesti nuoremmille oppilaille",,
2026-07-05,2026-07-10,Olympiajoukkueen yhteispohjoismainen valmennusleiri,"Sorøssa, Tanskassa",https://georgmohr.dk/soroe/,
2026-07-10,2026-07-20,Kansainväliset matematiikkaolympialaiset IMO,"Shanghaissa, Kiinassa",https://www.imo2026.com,
2025-01-10,2025-01-12,Valmennusviikonloppu Päivölässä,"Ohjelmassa geometriaa ja lukuteoriaa sekä verkkoteoriaa, peliteoriaa ja epäyhtälöitä. Myös valmennuskoe.",,
2025-02-21,2025-02-23,Valmennusviikonloppu Päivölässä,,https://paivola.fi/kurssit/matematiikkakilpailuvalmennus-2025-vk8,
2025-03-25,2025-03-25,Pohjoismainen matematiikkakilpailu,"Kutsutuille omassa koulussa",,
2025-04-04,2025-04-06,Valmennusviikonloppu Päivölässä,"Yläkerran ohjelma on osa valintaleiriä.",https://paivola.fi/kurssit/matematiikkakilpailuvalmennus-2025-vk14,
2025-04-04,2025-04-09,IMO-valintaleiri,"Kutsutuille. Muutkin saavat tulla mukaan omakustanteisesti.",https://paivola.fi/kurssit/matematiikkakilpavalmennus,
2025-04-11,2025-04-17,Euroopan tyttöjen matematiikkaolympialaiset EGMO,"Pristinassa, Kosovossa",https://egmo2025.com/,
2025-05-23,2025-05-25,Valmennusviikonloppu Päivölässä,,https://paivola.fi/kurssit/vk-matematiikkakilpailuvalmennus,
2025-07-06,2025-07-11,Yhteispohjoismainen valmennusleiri,"IMO-joukkueelle Tanskan Sorøssä",,
2025-07-13,2025-07-20,Kansainväliset matematiikkaolympialaiset IMO,"Sunshine Coastissa, Australiassa",https://imo2025.au/,
2025-08-29,2025-08-31,Valmennusviikonloppu Päivölässä,"Baltian tie -joukkueeseen pyrkivien kannattaa osallistua.",,
2025-10-22,2025-11-04,MAOLin matematiikkakilpailun alkukilpailu - peruskoulu,,https://maol.fi/neljan-tieteen-kisat/,
2025-10-24,2025-10-26,Valmennusviikonloppu Päivölässä,,,
2025-10-28,2025-10-28,MAOLin matematiikkakilpailun alkukilpailu - lukio,,https://maol.fi/neljan-tieteen-kisat/,
2025-11-13,2025-11-17,Baltian tie -joukkuekilpailu,"Riiassa, Latviassa",https://bw2025.lu.lv/,
2025-12-12,2025-12-14,Valmennusviikonloppu Päivölässä ja EMC-kilpailu,,https://emc.mnm.hr/,
